card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
yes,0,37.66667,,0.03326991,124.9833,yes,no,3,54,1,12
yes,0,33.25,2.42,0.005216942,9.854167,no,no,3,34,1,13
yes,0,33.66667,,0.0041555559999999,15.0,yes,no,4,58,1,5
yes,0,,2.54,,137.8692,no,no,0,25,1,7
yes,0,32.16667,9.7867,0.06705059,546.5033,yes,no,2,64,1,5
yes,0,23.25,2.5,0.0444384,91.99667,no,no,0,54,1,1
yes,0,27.91667,3.96,0.01257576,40.83333,no,no,2,7,1,5
yes,0,29.16667,2.37,,150.79,yes,no,0,77,1,3
yes,0,37.0,,0.2456279,777.8217,yes,no,0,97,1,6
yes,0,,,0.01978,52.58,no,no,0,65,1,18
yes,0,30.5,3.95,0.07802456,256.6642,yes,no,1,24,1,20
no,0,42.0,1.98,,0.0,yes,no,2,36,1,0
no,0,30.0,,,0.0,yes,no,1,42,0,12
yes,0,,2.45,,78.87416999999999,yes,no,0,26,1,3
yes,0,35.33333,1.908,0.02690671,42.615,yes,no,2,120,0,5
yes,0,41.16667,3.2,,335.435,yes,no,1,168,1,22
yes,0,40.08333,,0.07481575,248.7192,yes,no,2,96,1,0
no,7,29.5,,0.0004,0.0,yes,no,2,60,1,8
yes,0,,9.9999,0.06579486,548.035,yes,yes,0,28,1,0
no,3,45.75,3.4,0.0003529412,0.0,no,no,0,28,1,10
yes,0,,2.35,0.02238596,43.33917,yes,no,2,115,1,1
no,1,25.16667,1.875,0.00064,0.0,no,no,2,7,0,2
yes,0,34.25,,0.1311119999999999,218.52,yes,no,0,12,1,0
yes,1,35.75,4.0,,170.6408,no,no,2,18,1,22
yes,0,,5.14,,37.58333,yes,no,2,13,1,17
yes,0,,4.506,0.1337421,502.2017,no,no,2,38,1,7
no,0,21.66667,3.84,0.0003125,0.0,no,yes,1,12,0,1
yes,0,22.25,1.5,0.058608,73.17667,no,no,0,64,1,6
no,0,34.25,2.5,,0.0,yes,no,1,12,1,0
yes,0,,5.5,0.3344595999999999,1532.773,yes,no,4,74,1,19
yes,0,21.83333,2.0272,0.02532014,42.69083,no,no,0,9,0,5
yes,1,29.41667,3.2,0.1567194,417.835,no,no,0,14,1,6
no,1,,,,0.0,yes,no,1,40,1,5
yes,0,,2.4663,,552.7242,yes,no,1,12,1,10
yes,0,23.83333,3.0,,222.5392,no,no,0,12,1,5
yes,0,,3.5412,,541.2958,yes,no,6,108,1,15
no,0,42.58333,2.2845,0.000525279,0.0,no,no,2,46,1,0
yes,0,,5.7,,568.7742,yes,no,1,36,1,16
yes,0,,3.5,,344.4708,no,no,0,2,1,14
yes,0,27.75,,0.1057438999999999,405.3517,yes,no,4,28,1,13
yes,0,26.25,,,310.9375,yes,no,0,7,1,10
yes,0,23.33333,,,53.645,no,no,0,8,1,1
yes,0,,1.51,0.05125828,63.91667,no,no,1,7,0,1
yes,0,30.0,1.85,0.1075816,165.855,no,no,0,60,1,12
yes,0,,2.6,0.004807692,9.583333,no,no,0,12,1,1
no,0,28.16667,,,0.0,no,yes,2,26,1,2
yes,0,35.58333,2.0,0.192044,319.49,no,no,0,156,1,4
no,0,37.75,3.2628,0.0003677823,0.0,no,no,1,98,0,1
yes,0,26.08333,2.35,0.04285106,83.08334,no,no,1,30,0,2
yes,0,27.75,,0.1105849,644.8283,yes,no,0,0,1,13
no,0,49.75,,,0.0,no,no,2,12,0,0
yes,0,,,,93.1975,no,no,0,18,1,12
yes,0,20.66667,1.7,0.07420824,105.045,no,no,0,6,1,4
yes,0,23.75,,0.014875,34.125,no,no,2,48,1,8
yes,0,,2.4,0.02071958,41.18917,no,no,0,34,1,2
yes,1,32.91667,3.0,0.068022,169.8883,no,no,0,216,0,5
